os,os_version,machine,processor,time,jj
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:26:23,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:26:33,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:26:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:26:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:27:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:27:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:27:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:27:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:27:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:27:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:28:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:28:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:28:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:28:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:28:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:28:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:29:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:30:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:31:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 17:43:12,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:03:13,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:03:23,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:03:33,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:03:43,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:03:53,k
